DATE,CONGSP,REMARK
01-01-1997,136916.6,
01-01-1998,150364.4,
01-01-1999,164132,
01-01-2000,180693.3,
01-01-2001,187546.2,Recession
01-01-2002,191062.2,Recession
01-01-2003,196768.6,
01-01-2004,204374.6,
01-01-2005,220307.4,
01-01-2006,231256.3,
01-01-2007,246151,
01-01-2008,255830.2,Recession
01-01-2009,248669.1,Recession
01-01-2010,255660.7,
01-01-2011,264310.2,
01-01-2012,273593.9,
01-01-2013,288383.5,
01-01-2014,305690.9,
01-01-2015,317992.4,
01-01-2016,327757.3,
01-01-2017,348175.5,
01-01-2018,372452.9,
01-01-2019,392986,
01-01-2020,390098.7,
